"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
12	1	1	"MOVE_LEFT"	35	0	"normal"	0	152.617202758789	"left"	"correct"	TRUE	50	1	1.68
12	1	2	"MOVE_RIGHT"	34	1	"inverted"	0	-164.626861572266	"right"	"incorrect"	FALSE	49	0.98	2.2
12	1	3	"MOVE_RIGHT"	29	1	"inverted"	0	-158.440521240234	"right"	"incorrect"	FALSE	44	0.88	1.98
12	1	4	"MOVE_RIGHT"	23	1	"inverted"	0	168.561737060547	"left"	"correct"	FALSE	38	0.76	2.38
12	1	5	"MOVE_LEFT"	37	1	"inverted"	0	-221.979217529297	"right"	"correct"	TRUE	52	1.04	4.08
12	1	6	"MOVE_RIGHT"	25	1	"inverted"	0	278.620178222656	"left"	"correct"	FALSE	40	0.8	3.06
12	1	7	"MOVE_RIGHT"	27	0	"normal"	0	212.017425537109	"left"	"incorrect"	FALSE	42	0.84	3.16
12	1	8	"MOVE_LEFT"	33	1	"inverted"	0	-141.776733398438	"right"	"correct"	TRUE	48	0.96	2.76
12	1	10	"MOVE_LEFT"	47	0	"normal"	0	-59.2405242919922	"right"	"incorrect"	TRUE	62	1.24	2.56
12	1	11	"MOVE_LEFT"	33	0	"normal"	0	-176.666793823242	"right"	"incorrect"	TRUE	48	0.96	2.7
12	1	12	"MOVE_LEFT"	21	1	"inverted"	0	-75.2082977294922	"right"	"correct"	TRUE	36	0.72	2.16
12	1	13	"MOVE_LEFT"	33	0	"normal"	0	109.533782958984	"left"	"correct"	TRUE	48	0.96	1.56
12	1	14	"MOVE_LEFT"	24	0	"normal"	0	296.338119506836	"left"	"correct"	TRUE	39	0.78	1.96
12	1	15	"MOVE_LEFT"	25	0	"normal"	0	118.48583984375	"left"	"correct"	TRUE	40	0.8	1.38
12	1	16	"MOVE_RIGHT"	22	1	"inverted"	0	-172.562759399414	"right"	"incorrect"	FALSE	37	0.74	1.68
12	1	17	"MOVE_RIGHT"	32	1	"inverted"	0	-123.828918457031	"right"	"incorrect"	FALSE	47	0.94	1.7
12	1	18	"MOVE_LEFT"	28	0	"normal"	0	263.218200683594	"left"	"correct"	TRUE	43	0.86	1.84
12	1	20	"MOVE_LEFT"	35	0	"normal"	0	114.774108886719	"left"	"correct"	TRUE	50	1	1.64
