"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
4	1	1	"MOVE_LEFT"	31	1	"inverted"	0	-120.876388549805	"right"	"correct"	TRUE	46	0.92	2.46
4	1	2	"MOVE_LEFT"	23	0	"normal"	0	273.34098815918	"left"	"correct"	TRUE	38	0.76	1.62
4	1	3	"MOVE_RIGHT"	20	1	"inverted"	0	239.97900390625	"left"	"correct"	FALSE	35	0.7	2.98
4	1	4	"MOVE_LEFT"	18	0	"normal"	0	-88.1626281738281	"right"	"incorrect"	TRUE	33	0.66	2.06
4	1	5	"MOVE_RIGHT"	19	1	"inverted"	0	138.154022216797	"left"	"correct"	FALSE	34	0.68	1.94
4	1	6	"MOVE_LEFT"	25	1	"inverted"	0	-33.2437286376953	"right"	"correct"	TRUE	40	0.8	1.88
4	1	7	"MOVE_RIGHT"	20	1	"inverted"	0	-161.076538085938	"right"	"incorrect"	FALSE	35	0.7	1.46
4	1	8	"MOVE_RIGHT"	22	1	"inverted"	0	-153.245193481445	"right"	"incorrect"	FALSE	37	0.74	1.46
4	1	9	"MOVE_RIGHT"	20	1	"inverted"	0	-43.8349304199219	"right"	"incorrect"	FALSE	35	0.7	1.12
4	1	10	"MOVE_LEFT"	21	0	"normal"	0	172.793899536133	"left"	"correct"	TRUE	36	0.72	1.28
4	1	11	"MOVE_LEFT"	17	0	"normal"	0	132.531692504883	"left"	"correct"	TRUE	32	0.64	1.1
4	1	12	"MOVE_LEFT"	18	0	"normal"	0	270.233428955078	"left"	"correct"	TRUE	33	0.66	1.48
4	1	13	"MOVE_RIGHT"	26	1	"inverted"	0	-33.7646636962891	"right"	"incorrect"	FALSE	41	0.82	1.24
4	1	14	"MOVE_RIGHT"	17	1	"inverted"	0	-231.548461914062	"right"	"incorrect"	FALSE	32	0.64	1.56
4	1	15	"MOVE_RIGHT"	24	1	"inverted"	0	289.926574707031	"left"	"correct"	FALSE	39	0.78	2.82
4	1	16	"MOVE_RIGHT"	27	1	"inverted"	0	169.024627685547	"left"	"correct"	FALSE	42	0.84	2.64
4	1	17	"MOVE_LEFT"	28	1	"inverted"	0	-59.8941650390625	"right"	"correct"	TRUE	43	0.86	2.14
4	1	18	"MOVE_RIGHT"	19	1	"inverted"	0	75.7428588867188	"left"	"correct"	FALSE	34	0.68	2.62
4	1	19	"MOVE_RIGHT"	19	1	"inverted"	0	-56.2135162353516	"right"	"incorrect"	FALSE	34	0.68	2.26
4	1	20	"MOVE_RIGHT"	27	1	"inverted"	0	-93.4495086669922	"right"	"incorrect"	FALSE	42	0.84	1.42
