"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
5	1	1	"MOVE_LEFT"	42	0	"normal"	1	-24.4507751464844	"right"	"incorrect"	FALSE	57	1.14	2.36
5	1	2	"MOVE_LEFT"	25	1	"inverted"	1	138.473052978516	"left"	"incorrect"	FALSE	40	0.8	2.14
5	1	4	"MOVE_RIGHT"	25	1	"inverted"	1	-162.874801635742	"right"	"incorrect"	TRUE	40	0.8	1.54
5	1	5	"MOVE_LEFT"	22	0	"normal"	1	-103.678634643555	"right"	"incorrect"	FALSE	37	0.74	2.12
5	1	7	"MOVE_LEFT"	28	0	"normal"	1	263.833312988281	"left"	"correct"	FALSE	43	0.86	1.8
5	1	8	"MOVE_RIGHT"	26	1	"inverted"	1	-79.0821685791016	"right"	"incorrect"	TRUE	41	0.82	1.42
5	1	9	"MOVE_RIGHT"	20	1	"inverted"	1	-99.9694671630859	"right"	"incorrect"	TRUE	35	0.7	1.26
5	1	10	"MOVE_RIGHT"	36	0	"normal"	1	212.051055908203	"left"	"incorrect"	TRUE	51	1.02	3.02
5	1	11	"MOVE_LEFT"	18	0	"normal"	1	-25.7023773193359	"right"	"incorrect"	FALSE	33	0.66	1.72
5	1	12	"MOVE_RIGHT"	17	1	"inverted"	1	175.043075561523	"left"	"correct"	TRUE	32	0.64	2.06
5	1	13	"MOVE_RIGHT"	16	1	"inverted"	1	-229.172561645508	"right"	"incorrect"	TRUE	31	0.62	1.82
5	1	14	"MOVE_RIGHT"	21	1	"inverted"	1	228.396514892578	"left"	"correct"	TRUE	36	0.72	2.34
5	1	16	"MOVE_LEFT"	28	0	"normal"	1	-37.5348815917969	"right"	"incorrect"	FALSE	43	0.86	1.92
5	1	17	"MOVE_RIGHT"	26	1	"inverted"	1	297.390823364258	"left"	"correct"	TRUE	41	0.82	2.92
5	1	18	"MOVE_LEFT"	32	1	"inverted"	1	181.622497558594	"left"	"incorrect"	FALSE	47	0.94	1.62
5	1	19	"MOVE_LEFT"	22	1	"inverted"	1	159.029586791992	"left"	"incorrect"	FALSE	37	0.74	1.24
5	1	20	"MOVE_LEFT"	17	1	"inverted"	1	-123.21826171875	"right"	"correct"	FALSE	32	0.64	3.24
