"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
1	4	1	"MOVE_LEFT"	27	1	"inverted"	1	174.927108764648	"left"	FALSE	FALSE	42	0.84	1.48
1	4	2	"MOVE_LEFT"	17	1	"inverted"	1	-15.3190612792969	"right"	TRUE	FALSE	32	0.64	1.66
1	4	3	"MOVE_LEFT"	15	1	"inverted"	1	140.965621948242	"left"	FALSE	FALSE	30	0.6	1.2
1	4	4	"MOVE_LEFT"	16	1	"inverted"	1	243.909027099609	"left"	FALSE	FALSE	31	0.62	1.44
1	4	5	"MOVE_LEFT"	10	1	"inverted"	1	-60.2050933837891	"right"	TRUE	FALSE	25	0.5	1.76
1	4	6	"MOVE_LEFT"	16	1	"inverted"	1	-120.885528564453	"right"	TRUE	FALSE	31	0.62	1.98
1	4	7	"MOVE_RIGHT"	22	0	"normal"	1	-49.6997528076172	"right"	TRUE	TRUE	37	0.74	1.18
1	4	8	"MOVE_RIGHT"	19	0	"normal"	1	248.397811889648	"left"	FALSE	TRUE	34	0.68	2.18
1	4	9	"MOVE_RIGHT"	21	0	"normal"	1	-161.622192382812	"right"	TRUE	TRUE	36	0.72	1.4
1	4	10	"MOVE_RIGHT"	14	0	"normal"	1	-146.119201660156	"right"	TRUE	TRUE	29	0.58	1.24
1	4	11	"MOVE_LEFT"	26	1	"inverted"	1	283.858184814453	"left"	FALSE	FALSE	41	0.82	1.74
1	4	12	"MOVE_LEFT"	18	1	"inverted"	1	-203.096420288086	"right"	TRUE	FALSE	33	0.66	2.38
1	4	13	"MOVE_RIGHT"	22	0	"normal"	1	202.291946411133	"left"	FALSE	TRUE	37	0.74	2.24
1	4	14	"MOVE_LEFT"	21	1	"inverted"	1	-153.379486083984	"right"	TRUE	FALSE	36	0.72	2.26
1	4	15	"MOVE_RIGHT"	20	0	"normal"	1	-98.83642578125	"right"	TRUE	TRUE	35	0.7	1.24
1	4	16	"MOVE_RIGHT"	27	0	"normal"	1	213.521133422852	"left"	FALSE	TRUE	42	0.84	2.26
1	4	18	"MOVE_LEFT"	32	0	"normal"	1	252.82958984375	"left"	TRUE	FALSE	47	0.94	1.8
1	4	20	"MOVE_LEFT"	31	0	"normal"	1	-206.498031616211	"right"	FALSE	FALSE	46	0.92	2.58
1	4	22	"MOVE_RIGHT"	38	1	"inverted"	1	-220.252548217773	"right"	FALSE	TRUE	53	1.06	2.42
1	4	23	"MOVE_LEFT"	22	0	"normal"	1	-79.3451538085938	"right"	FALSE	FALSE	37	0.74	2.08
1	4	24	"MOVE_RIGHT"	33	0	"normal"	1	103.532287597656	"left"	FALSE	TRUE	48	0.96	2.02
1	4	25	"MOVE_RIGHT"	23	1	"inverted"	1	157.366897583008	"left"	TRUE	TRUE	38	0.76	2.02
1	4	26	"MOVE_RIGHT"	31	0	"normal"	1	-228.745498657227	"right"	TRUE	TRUE	46	0.92	1.76
1	4	27	"MOVE_LEFT"	30	1	"inverted"	1	242.164001464844	"left"	FALSE	FALSE	45	0.9	1.72
1	4	28	"MOVE_RIGHT"	19	0	"normal"	1	-146.676971435547	"right"	TRUE	TRUE	34	0.68	1.34
1	4	29	"MOVE_LEFT"	20	1	"inverted"	1	-56.3195953369141	"right"	TRUE	FALSE	35	0.7	1.96
1	4	30	"MOVE_RIGHT"	24	0	"normal"	1	-209.168716430664	"right"	TRUE	TRUE	39	0.78	1.66
