"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
3	2	1	"MOVE_LEFT"	23	0	"normal"	1	119.129089355469	"left"	"correct"	FALSE	38	0.76	1.24
3	2	2	"MOVE_LEFT"	27	0	"normal"	1	-54.9511871337891	"right"	"incorrect"	FALSE	42	0.84	1.96
3	2	3	"MOVE_LEFT"	19	1	"inverted"	1	210.201095581055	"left"	"incorrect"	FALSE	34	0.68	1.34
3	2	4	"MOVE_LEFT"	21	1	"inverted"	1	-19.8205108642578	"right"	"correct"	FALSE	36	0.72	1.72
3	2	5	"MOVE_RIGHT"	20	1	"inverted"	1	185.802841186523	"left"	"correct"	TRUE	35	0.7	2
