"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
3	3	1	"MOVE_LEFT"	25	0	"normal"	1	-145.281036376953	"right"	FALSE	FALSE	40	0.8	2.28
3	3	2	"MOVE_RIGHT"	32	1	"inverted"	1	92.4426574707031	"left"	TRUE	TRUE	47	0.94	2.22
3	3	3	"MOVE_RIGHT"	28	0	"normal"	1	244.430374145508	"left"	FALSE	TRUE	43	0.86	2.8
3	3	4	"MOVE_RIGHT"	18	1	"inverted"	1	171.788787841797	"left"	TRUE	TRUE	33	0.66	2.02
3	3	5	"MOVE_LEFT"	20	1	"inverted"	1	230.516372680664	"left"	FALSE	FALSE	35	0.7	1.44
3	3	6	"MOVE_RIGHT"	17	0	"normal"	1	-131.136169433594	"right"	TRUE	TRUE	32	0.64	1.32
3	3	7	"MOVE_RIGHT"	18	0	"normal"	1	-203.962753295898	"right"	TRUE	TRUE	33	0.66	1.44
3	3	8	"MOVE_LEFT"	18	1	"inverted"	1	-67.1469879150391	"right"	TRUE	FALSE	33	0.66	1.88
3	3	9	"MOVE_LEFT"	19	1	"inverted"	1	295.491195678711	"left"	FALSE	FALSE	34	0.68	1.58
3	3	10	"MOVE_RIGHT"	17	0	"normal"	1	-157.838928222656	"right"	TRUE	TRUE	32	0.64	1.34
3	3	11	"MOVE_LEFT"	22	1	"inverted"	1	167.814895629883	"left"	FALSE	FALSE	37	0.74	1.58
3	3	12	"MOVE_RIGHT"	24	0	"normal"	1	-136.070861816406	"right"	TRUE	TRUE	39	0.78	1.42
3	3	13	"MOVE_LEFT"	20	1	"inverted"	1	-24.3847198486328	"right"	TRUE	FALSE	35	0.7	1.7
3	3	14	"MOVE_RIGHT"	19	0	"normal"	1	-28.8400573730469	"right"	TRUE	TRUE	34	0.68	1.12
3	3	15	"MOVE_RIGHT"	20	0	"normal"	1	127.267028808594	"left"	FALSE	TRUE	35	0.7	1.94
3	3	16	"MOVE_LEFT"	21	1	"inverted"	1	257.938812255859	"left"	FALSE	FALSE	36	0.72	1.54
3	3	17	"MOVE_RIGHT"	16	0	"normal"	1	261.646942138672	"left"	FALSE	TRUE	31	0.62	2.38
3	3	18	"MOVE_LEFT"	28	1	"inverted"	1	229.054931640625	"left"	FALSE	FALSE	43	0.86	1.64
3	3	19	"MOVE_RIGHT"	15	0	"normal"	1	176.133895874023	"left"	FALSE	TRUE	30	0.6	1.96
3	3	21	"MOVE_LEFT"	21	1	"inverted"	1	284.511260986328	"left"	FALSE	FALSE	36	0.72	1.64
3	3	22	"MOVE_RIGHT"	22	0	"normal"	1	-160.079742431641	"right"	TRUE	TRUE	37	0.74	1.46
3	3	23	"MOVE_LEFT"	23	1	"inverted"	1	195.911773681641	"left"	FALSE	FALSE	38	0.76	1.58
3	3	24	"MOVE_RIGHT"	20	0	"normal"	1	-23.8232269287109	"right"	TRUE	TRUE	35	0.7	1.98
3	3	25	"MOVE_LEFT"	29	1	"inverted"	1	106.840423583984	"left"	FALSE	FALSE	44	0.88	1.34
3	3	26	"MOVE_LEFT"	28	1	"inverted"	1	-198.316497802734	"right"	TRUE	FALSE	43	0.86	2.98
3	3	27	"MOVE_RIGHT"	22	0	"normal"	1	269.587631225586	"left"	FALSE	TRUE	37	0.74	2.54
3	3	28	"MOVE_RIGHT"	17	0	"normal"	1	-91.9320220947266	"right"	TRUE	TRUE	32	0.64	1.18
3	3	29	"MOVE_LEFT"	17	1	"inverted"	1	228.220993041992	"left"	FALSE	FALSE	32	0.64	1.4
3	3	30	"MOVE_LEFT"	16	1	"inverted"	1	205.973648071289	"left"	FALSE	FALSE	31	0.62	1.34
