"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
2	1	1	"MOVE_RIGHT"	30	1	"inverted"	1	-20.0476837158203	"right"	"incorrect"	TRUE	45	0.9	1.34
2	1	2	"MOVE_LEFT"	24	0	"normal"	1	164.699951171875	"left"	"correct"	FALSE	39	0.78	1.52
2	1	3	"MOVE_LEFT"	22	0	"normal"	1	186.795501708984	"left"	"correct"	FALSE	37	0.74	1.36
2	1	4	"MOVE_LEFT"	23	0	"normal"	1	-129.892959594727	"right"	"incorrect"	FALSE	38	0.76	2.08
2	1	5	"MOVE_RIGHT"	17	1	"inverted"	1	233.646667480469	"left"	"correct"	TRUE	32	0.64	2.12
