"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
6	3	1	"MOVE_RIGHT"	30	1	"inverted"	0	299.510498046875	"left"	"correct"	FALSE	45	0.9	2.8
6	3	2	"MOVE_LEFT"	17	1	"inverted"	0	195.410415649414	"left"	"incorrect"	TRUE	32	0.64	1.3
6	3	3	"MOVE_RIGHT"	16	0	"normal"	0	268.45458984375	"left"	"incorrect"	FALSE	31	0.62	2.34
6	3	4	"MOVE_LEFT"	19	1	"inverted"	0	236.374404907227	"left"	"incorrect"	TRUE	34	0.68	1.64
6	3	5	"MOVE_LEFT"	22	1	"inverted"	0	256.869232177734	"left"	"incorrect"	TRUE	37	0.74	1.74
6	3	6	"MOVE_RIGHT"	24	0	"normal"	0	-123.800308227539	"right"	"correct"	FALSE	39	0.78	1.38
6	3	7	"MOVE_RIGHT"	18	0	"normal"	0	215.619552612305	"left"	"incorrect"	FALSE	33	0.66	2.1
6	3	8	"MOVE_LEFT"	16	1	"inverted"	0	297.430679321289	"left"	"incorrect"	TRUE	31	0.62	1.5
6	3	9	"MOVE_RIGHT"	15	0	"normal"	0	189.85498046875	"left"	"incorrect"	FALSE	30	0.6	2
6	3	10	"MOVE_RIGHT"	14	0	"normal"	0	-197.093841552734	"right"	"correct"	FALSE	29	0.58	1.44
6	3	11	"MOVE_LEFT"	14	1	"inverted"	0	113.013519287109	"left"	"incorrect"	TRUE	29	0.58	1.02
6	3	12	"MOVE_RIGHT"	18	0	"normal"	0	247.696472167969	"left"	"incorrect"	FALSE	33	0.66	2.14
6	3	13	"MOVE_RIGHT"	17	0	"normal"	0	-64.726318359375	"right"	"correct"	FALSE	32	0.64	1.1
6	3	14	"MOVE_RIGHT"	17	0	"normal"	0	-54.7177124023438	"right"	"correct"	FALSE	32	0.64	1.06
6	3	15	"MOVE_LEFT"	18	1	"inverted"	0	-162.851669311523	"right"	"correct"	TRUE	33	0.66	2.24
6	3	16	"MOVE_RIGHT"	19	0	"normal"	0	178.424774169922	"left"	"incorrect"	FALSE	34	0.68	1.96
6	3	17	"MOVE_RIGHT"	17	0	"normal"	0	245.212860107422	"left"	"incorrect"	FALSE	32	0.64	2.16
6	3	18	"MOVE_LEFT"	16	1	"inverted"	0	-40.6285705566406	"right"	"correct"	TRUE	31	0.62	1.76
6	3	19	"MOVE_RIGHT"	16	0	"normal"	0	-60.4051055908203	"right"	"correct"	FALSE	31	0.62	1.08
6	3	20	"MOVE_RIGHT"	19	0	"normal"	0	-188.306671142578	"right"	"correct"	FALSE	34	0.68	1.5
6	3	21	"MOVE_LEFT"	14	1	"inverted"	0	-60.7220153808594	"right"	"correct"	TRUE	29	0.58	1.74
6	3	22	"MOVE_RIGHT"	17	0	"normal"	0	86.7991180419922	"left"	"incorrect"	FALSE	32	0.64	1.6
6	3	23	"MOVE_RIGHT"	15	0	"normal"	0	140.734359741211	"left"	"incorrect"	FALSE	30	0.6	1.78
6	3	24	"MOVE_RIGHT"	19	0	"normal"	0	195.942718505859	"left"	"incorrect"	FALSE	34	0.68	2.14
6	3	25	"MOVE_LEFT"	15	1	"inverted"	0	-92.3412933349609	"right"	"correct"	TRUE	30	0.6	1.98
6	3	26	"MOVE_LEFT"	13	1	"inverted"	0	-56.4590606689453	"right"	"correct"	TRUE	28	0.56	1.8
6	3	27	"MOVE_LEFT"	14	1	"inverted"	0	-70.5142211914062	"right"	"correct"	TRUE	29	0.58	1.92
6	3	28	"MOVE_LEFT"	18	1	"inverted"	0	-51.3901214599609	"right"	"correct"	TRUE	33	0.66	1.84
6	3	29	"MOVE_RIGHT"	19	0	"normal"	0	-138.887100219727	"right"	"correct"	FALSE	34	0.68	1.36
6	3	30	"MOVE_LEFT"	17	1	"inverted"	0	-150.961410522461	"right"	"correct"	TRUE	32	0.64	2.22
