"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
4	3	1	"MOVE_RIGHT"	21	1	"inverted"	1	188.044036865234	"left"	TRUE	TRUE	36	0.72	2.54
4	3	2	"MOVE_LEFT"	13	1	"inverted"	1	-29.1880340576172	"right"	TRUE	FALSE	28	0.56	1.58
4	3	3	"MOVE_RIGHT"	16	1	"inverted"	1	249.388107299805	"left"	TRUE	TRUE	31	0.62	2.26
4	3	4	"MOVE_RIGHT"	20	1	"inverted"	1	230.651321411133	"left"	TRUE	TRUE	35	0.7	2.06
4	3	5	"MOVE_RIGHT"	14	0	"normal"	1	-15.0073547363281	"right"	TRUE	TRUE	29	0.58	1.98
4	3	6	"MOVE_LEFT"	25	1	"inverted"	1	292.912384033203	"left"	FALSE	FALSE	40	0.8	1.7
4	3	7	"MOVE_LEFT"	16	1	"inverted"	1	292.138793945312	"left"	FALSE	FALSE	31	0.62	1.56
4	3	8	"MOVE_RIGHT"	20	0	"normal"	1	-144.866790771484	"right"	TRUE	TRUE	35	0.7	1.36
4	3	9	"MOVE_LEFT"	18	1	"inverted"	1	243.960418701172	"left"	FALSE	FALSE	33	0.66	1.46
4	3	10	"MOVE_LEFT"	20	1	"inverted"	1	-93.3343048095703	"right"	TRUE	FALSE	35	0.7	2.32
4	3	11	"MOVE_RIGHT"	15	0	"normal"	1	231.528625488281	"left"	FALSE	TRUE	30	0.6	2.18
4	3	12	"MOVE_RIGHT"	15	0	"normal"	1	-111.99870300293	"right"	TRUE	TRUE	30	0.6	1.18
4	3	13	"MOVE_LEFT"	16	1	"inverted"	1	-25.9628143310547	"right"	TRUE	FALSE	31	0.62	1.58
4	3	14	"MOVE_RIGHT"	16	0	"normal"	1	-227.073913574219	"right"	TRUE	TRUE	31	0.62	1.46
4	3	15	"MOVE_RIGHT"	17	0	"normal"	1	-209.956298828125	"right"	TRUE	TRUE	32	0.64	1.52
4	3	16	"MOVE_LEFT"	18	1	"inverted"	1	184.004486083984	"left"	FALSE	FALSE	33	0.66	1.26
4	3	17	"MOVE_LEFT"	16	1	"inverted"	1	-222.157455444336	"right"	TRUE	FALSE	31	0.62	2.34
4	3	18	"MOVE_LEFT"	15	1	"inverted"	1	89.2301025390625	"left"	FALSE	FALSE	30	0.6	1.04
4	3	19	"MOVE_RIGHT"	14	0	"normal"	1	212.070648193359	"left"	FALSE	TRUE	29	0.58	2
4	3	20	"MOVE_LEFT"	14	1	"inverted"	1	-174.547271728516	"right"	TRUE	FALSE	29	0.58	2.1
4	3	21	"MOVE_RIGHT"	10	0	"normal"	1	-57.5990600585938	"right"	TRUE	TRUE	25	0.5	1
4	3	22	"MOVE_LEFT"	14	1	"inverted"	1	-190.307861328125	"right"	TRUE	FALSE	29	0.58	2.06
4	3	23	"MOVE_LEFT"	19	0	"normal"	1	-121.717224121094	"right"	FALSE	FALSE	34	0.68	2.04
4	3	25	"MOVE_LEFT"	28	1	"inverted"	1	228.096786499023	"left"	FALSE	FALSE	43	0.86	1.64
4	3	26	"MOVE_RIGHT"	18	0	"normal"	1	-204.088684082031	"right"	TRUE	TRUE	33	0.66	1.42
4	3	27	"MOVE_LEFT"	17	1	"inverted"	1	-30.1319580078125	"right"	TRUE	FALSE	32	0.64	1.64
4	3	28	"MOVE_LEFT"	13	1	"inverted"	1	129.777114868164	"left"	FALSE	FALSE	28	0.56	1.12
4	3	29	"MOVE_RIGHT"	21	0	"normal"	1	229.194458007812	"left"	FALSE	TRUE	36	0.72	2.14
4	3	30	"MOVE_RIGHT"	23	1	"inverted"	1	271.216949462891	"left"	TRUE	TRUE	38	0.76	2.8
