"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
9	2	1	"MOVE_LEFT"	32	0	"normal"	1	-221.003494262695	"right"	"incorrect"	FALSE	47	0.94	3.08
9	2	2	"MOVE_LEFT"	33	1	"inverted"	1	237.778762817383	"left"	"incorrect"	FALSE	48	0.96	2
9	2	3	"MOVE_RIGHT"	27	0	"normal"	1	246.99674987793	"left"	"incorrect"	TRUE	42	0.84	3.46
9	2	5	"MOVE_RIGHT"	28	1	"inverted"	1	187.442016601562	"left"	"correct"	TRUE	43	0.86	3.12
9	2	6	"MOVE_LEFT"	35	1	"inverted"	1	-34.2815399169922	"right"	"correct"	FALSE	50	1	2.18
9	2	7	"MOVE_RIGHT"	35	1	"inverted"	1	-140.07780456543	"right"	"incorrect"	TRUE	50	1	1.8
9	2	8	"MOVE_RIGHT"	23	1	"inverted"	1	288.132263183594	"left"	"correct"	TRUE	38	0.76	2.74
9	2	9	"MOVE_RIGHT"	31	0	"normal"	1	-192.259674072266	"right"	"correct"	TRUE	46	0.92	2.14
9	2	10	"MOVE_LEFT"	33	1	"inverted"	1	-55.18408203125	"right"	"correct"	FALSE	48	0.96	2.26
9	2	12	"MOVE_RIGHT"	54	1	"inverted"	1	-186.318496704102	"right"	"incorrect"	TRUE	69	1.38	3.48
9	2	13	"MOVE_LEFT"	54	0	"normal"	1	-9.75636291503906	"right"	"incorrect"	FALSE	69	1.38	2.52
9	2	14	"MOVE_LEFT"	33	1	"inverted"	1	-80.5230407714844	"right"	"correct"	FALSE	48	0.96	2.56
9	2	15	"MOVE_LEFT"	35	1	"inverted"	1	-56.5694732666016	"right"	"correct"	FALSE	50	1	2.48
9	2	16	"MOVE_RIGHT"	29	1	"inverted"	1	190.857452392578	"left"	"correct"	TRUE	44	0.88	2.58
9	2	17	"MOVE_LEFT"	24	1	"inverted"	1	133.495635986328	"left"	"incorrect"	FALSE	39	0.78	1.32
9	2	18	"MOVE_RIGHT"	31	0	"normal"	1	-82.8208160400391	"right"	"correct"	TRUE	46	0.92	1.64
9	2	19	"MOVE_RIGHT"	38	0	"normal"	1	-42.8502960205078	"right"	"correct"	TRUE	53	1.06	1.66
9	2	20	"MOVE_LEFT"	30	1	"inverted"	1	-164.420364379883	"right"	"correct"	FALSE	45	0.9	2.76
9	2	21	"MOVE_LEFT"	32	0	"normal"	1	-217.776580810547	"right"	"incorrect"	FALSE	47	0.94	2.82
9	2	22	"MOVE_RIGHT"	32	0	"normal"	1	-41.4707336425781	"right"	"correct"	TRUE	47	0.94	1.48
9	2	23	"MOVE_RIGHT"	35	1	"inverted"	1	288.357727050781	"left"	"correct"	TRUE	50	1	3.48
9	2	24	"MOVE_RIGHT"	30	0	"normal"	1	-50.0460510253906	"right"	"correct"	TRUE	45	0.9	2.4
9	2	25	"MOVE_LEFT"	42	1	"inverted"	1	-133.776321411133	"right"	"correct"	FALSE	57	1.14	3.06
9	2	27	"MOVE_RIGHT"	43	1	"inverted"	1	-21.0627136230469	"right"	"incorrect"	TRUE	58	1.16	1.7
9	2	28	"MOVE_RIGHT"	32	1	"inverted"	1	205.111755371094	"left"	"correct"	TRUE	47	0.94	2.66
9	2	29	"MOVE_RIGHT"	32	0	"normal"	1	-21.5113677978516	"right"	"correct"	TRUE	47	0.94	1.5
9	2	30	"MOVE_LEFT"	32	1	"inverted"	1	136.891693115234	"left"	"incorrect"	FALSE	47	0.94	1.68
