"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
11	2	1	"MOVE_LEFT"	31	0	"normal"	1	201.609664916992	"left"	"correct"	FALSE	46	0.92	1.84
11	2	2	"MOVE_LEFT"	24	0	"normal"	1	190.324081420898	"left"	"correct"	FALSE	39	0.78	1.54
11	2	3	"MOVE_RIGHT"	25	1	"inverted"	1	280.598709106445	"left"	"correct"	TRUE	40	0.8	3.12
11	2	4	"MOVE_LEFT"	41	0	"normal"	1	109.531463623047	"left"	"correct"	FALSE	56	1.12	1.7
11	2	5	"MOVE_RIGHT"	21	1	"inverted"	1	114.599838256836	"left"	"correct"	TRUE	36	0.72	2.08
11	2	6	"MOVE_LEFT"	30	0	"normal"	1	-79.7288055419922	"right"	"incorrect"	FALSE	45	0.9	2.42
11	2	7	"MOVE_RIGHT"	27	0	"normal"	1	-206.163681030273	"right"	"correct"	TRUE	42	0.84	1.76
11	2	8	"MOVE_RIGHT"	19	0	"normal"	1	-46.5014190673828	"right"	"correct"	TRUE	34	0.68	1.3
11	2	9	"MOVE_RIGHT"	42	1	"inverted"	1	253.665939331055	"left"	"correct"	TRUE	57	1.14	3.2
11	2	10	"MOVE_RIGHT"	29	0	"normal"	1	-234.282348632812	"right"	"correct"	TRUE	44	0.88	2.26
11	2	11	"MOVE_RIGHT"	19	0	"normal"	1	-113.631072998047	"right"	"correct"	TRUE	34	0.68	2.46
11	2	12	"MOVE_RIGHT"	24	0	"normal"	1	-110.171112060547	"right"	"correct"	TRUE	39	0.78	1.42
11	2	13	"MOVE_RIGHT"	30	0	"normal"	1	-133.841232299805	"right"	"correct"	TRUE	45	0.9	1.62
11	2	14	"MOVE_RIGHT"	27	0	"normal"	1	-74.8786926269531	"right"	"correct"	TRUE	42	0.84	1.4
11	2	15	"MOVE_RIGHT"	34	1	"inverted"	1	218.518020629883	"left"	"correct"	TRUE	49	0.98	2.88
11	2	16	"MOVE_RIGHT"	34	0	"normal"	1	-32.0421600341797	"right"	"correct"	TRUE	49	0.98	1.5
11	2	17	"MOVE_LEFT"	32	1	"inverted"	1	188.394790649414	"left"	"incorrect"	FALSE	47	0.94	1.94
11	2	18	"MOVE_LEFT"	33	1	"inverted"	1	245.479568481445	"left"	"incorrect"	FALSE	48	0.96	1.82
11	2	19	"MOVE_LEFT"	33	1	"inverted"	1	94.8047180175781	"left"	"incorrect"	FALSE	48	0.96	1.54
11	2	20	"MOVE_LEFT"	38	1	"inverted"	1	237.927581787109	"left"	"incorrect"	FALSE	53	1.06	1.9
