"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
11	1	1	"MOVE_LEFT"	33	0	"normal"	0	178.033538818359	"left"	"correct"	TRUE	48	0.96	1.8
11	1	2	"MOVE_RIGHT"	39	1	"inverted"	0	-32.1400604248047	"right"	"incorrect"	FALSE	54	1.08	1.74
11	1	3	"MOVE_RIGHT"	24	1	"inverted"	0	147.103408813477	"left"	"correct"	FALSE	39	0.78	2.28
11	1	4	"MOVE_RIGHT"	30	0	"normal"	0	222.40625	"left"	"incorrect"	FALSE	46	0.92	3.5
11	1	5	"MOVE_LEFT"	39	1	"inverted"	0	-12.4613342285156	"right"	"correct"	TRUE	54	1.08	2.72
11	1	7	"MOVE_LEFT"	28	0	"normal"	0	191.357498168945	"left"	"correct"	TRUE	43	0.86	1.84
11	1	8	"MOVE_RIGHT"	40	1	"inverted"	0	-42.4257049560547	"right"	"incorrect"	FALSE	55	1.1	1.74
11	1	9	"MOVE_RIGHT"	33	1	"inverted"	0	232.417114257812	"left"	"correct"	FALSE	48	0.96	4.04
11	1	10	"MOVE_LEFT"	40	0	"normal"	0	176.804321289062	"left"	"correct"	TRUE	55	1.1	2.24
11	1	11	"MOVE_LEFT"	39	0	"normal"	0	210.679321289062	"left"	"correct"	TRUE	54	1.08	1.9
11	1	12	"MOVE_RIGHT"	33	0	"normal"	0	-136.815475463867	"right"	"correct"	FALSE	48	0.96	1.8
11	1	13	"MOVE_LEFT"	32	0	"normal"	0	79.5534515380859	"left"	"correct"	TRUE	47	0.94	1.48
11	1	14	"MOVE_RIGHT"	35	1	"inverted"	0	-220.133178710938	"right"	"incorrect"	FALSE	50	1	2.9
11	1	15	"MOVE_LEFT"	38	1	"inverted"	0	-102.027236938477	"right"	"correct"	TRUE	53	1.06	2.66
11	1	16	"MOVE_RIGHT"	32	1	"inverted"	0	-182.188674926758	"right"	"incorrect"	FALSE	47	0.94	1.8
11	1	17	"MOVE_LEFT"	27	0	"normal"	0	279.768325805664	"left"	"correct"	TRUE	42	0.84	2.44
11	1	18	"MOVE_LEFT"	34	0	"normal"	0	195.681549072266	"left"	"correct"	TRUE	49	0.98	2.06
11	1	19	"MOVE_LEFT"	33	0	"normal"	0	152.83268737793	"left"	"correct"	TRUE	48	0.96	1.56
11	1	20	"MOVE_LEFT"	41	1	"inverted"	0	-99.7492980957031	"right"	"correct"	TRUE	56	1.12	2.72
