"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
11	4	1	"MOVE_LEFT"	28	0	"normal"	1	-165.148544311523	"right"	"incorrect"	FALSE	43	0.86	2.7
11	4	2	"MOVE_LEFT"	25	0	"normal"	1	188.604568481445	"left"	"correct"	FALSE	40	0.8	1.62
11	4	4	"MOVE_LEFT"	35	0	"normal"	1	105.595352172852	"left"	"correct"	FALSE	50	1	1.58
11	4	5	"MOVE_RIGHT"	35	1	"inverted"	1	154.923355102539	"left"	"correct"	TRUE	50	1	2.44
11	4	6	"MOVE_LEFT"	27	1	"inverted"	1	135.623168945312	"left"	"incorrect"	FALSE	42	0.84	1.52
11	4	7	"MOVE_RIGHT"	25	0	"normal"	1	-199.865905761719	"right"	"correct"	TRUE	40	0.8	1.72
11	4	8	"MOVE_LEFT"	27	1	"inverted"	1	278.425079345703	"left"	"incorrect"	FALSE	42	0.84	1.82
11	4	9	"MOVE_LEFT"	25	1	"inverted"	1	231.889526367188	"left"	"incorrect"	FALSE	40	0.8	1.84
11	4	10	"MOVE_LEFT"	25	1	"inverted"	1	272.695205688477	"left"	"incorrect"	FALSE	40	0.8	1.74
11	4	11	"MOVE_RIGHT"	23	0	"normal"	1	198.407257080078	"left"	"incorrect"	TRUE	38	0.76	3.32
11	4	12	"MOVE_RIGHT"	33	0	"normal"	1	-176.8603515625	"right"	"correct"	TRUE	48	0.96	1.8
11	4	13	"MOVE_LEFT"	26	1	"inverted"	1	177.026931762695	"left"	"incorrect"	FALSE	41	0.82	1.56
11	4	14	"MOVE_RIGHT"	23	0	"normal"	1	-12.4002075195312	"right"	"correct"	TRUE	38	0.76	2.24
11	4	15	"MOVE_RIGHT"	35	0	"normal"	1	114.522521972656	"left"	"incorrect"	TRUE	50	1	2.22
11	4	16	"MOVE_LEFT"	26	0	"normal"	1	-205.026565551758	"right"	"incorrect"	FALSE	41	0.82	2.84
11	4	18	"MOVE_LEFT"	40	0	"normal"	1	-116.27571105957	"right"	"incorrect"	FALSE	55	1.1	2.6
11	4	19	"MOVE_RIGHT"	28	0	"normal"	1	-164.201141357422	"right"	"correct"	TRUE	43	0.86	1.66
11	4	20	"MOVE_RIGHT"	37	1	"inverted"	1	146.059020996094	"left"	"correct"	TRUE	52	1.04	2.46
