"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
2	3	1	"MOVE_LEFT"	27	0	"normal"	0	-210.990753173828	"right"	FALSE	TRUE	42	0.84	2.5
2	3	2	"MOVE_LEFT"	17	1	"inverted"	0	-46.2553558349609	"right"	TRUE	TRUE	32	0.64	1.76
2	3	3	"MOVE_LEFT"	24	0	"normal"	0	193.742279052734	"left"	TRUE	TRUE	39	0.78	1.5
2	3	4	"MOVE_RIGHT"	16	1	"inverted"	0	-44.2191162109375	"right"	FALSE	FALSE	31	0.62	1.08
2	3	5	"MOVE_RIGHT"	15	1	"inverted"	0	86.0471496582031	"left"	TRUE	FALSE	30	0.6	1.56
2	3	6	"MOVE_LEFT"	21	0	"normal"	0	173.283813476562	"left"	TRUE	TRUE	36	0.72	1.3
2	3	7	"MOVE_LEFT"	20	0	"normal"	0	214.501586914062	"left"	TRUE	TRUE	35	0.7	1.36
2	3	8	"MOVE_RIGHT"	18	1	"inverted"	0	-172.911865234375	"right"	FALSE	FALSE	33	0.66	1.4
2	3	9	"MOVE_RIGHT"	16	1	"inverted"	0	260.690002441406	"left"	TRUE	FALSE	31	0.62	2.26
2	3	10	"MOVE_LEFT"	23	1	"inverted"	0	-221.98095703125	"right"	TRUE	TRUE	38	0.76	2.38
2	3	11	"MOVE_RIGHT"	17	1	"inverted"	0	291.782409667969	"left"	TRUE	FALSE	32	0.64	2.34
2	3	12	"MOVE_LEFT"	22	0	"normal"	0	146.431823730469	"left"	TRUE	TRUE	37	0.74	1.72
2	3	13	"MOVE_LEFT"	18	0	"normal"	0	263.151275634766	"left"	TRUE	TRUE	33	0.66	1.44
2	3	14	"MOVE_LEFT"	19	0	"normal"	0	-59.4428100585938	"right"	FALSE	TRUE	34	0.68	1.76
2	3	15	"MOVE_LEFT"	22	1	"inverted"	0	-41.9089050292969	"right"	TRUE	TRUE	37	0.74	1.82
2	3	16	"MOVE_LEFT"	19	0	"normal"	0	113.986297607422	"left"	TRUE	TRUE	34	0.68	1.12
2	3	17	"MOVE_LEFT"	16	0	"normal"	0	-202.352981567383	"right"	FALSE	TRUE	31	0.62	2.12
2	3	18	"MOVE_LEFT"	20	0	"normal"	0	128.36946105957	"left"	TRUE	TRUE	35	0.7	1.18
2	3	19	"MOVE_LEFT"	17	0	"normal"	0	219.702972412109	"left"	TRUE	TRUE	32	0.64	1.32
2	3	20	"MOVE_LEFT"	19	0	"normal"	0	-94.9880218505859	"right"	FALSE	TRUE	34	0.68	1.96
2	3	21	"MOVE_LEFT"	14	1	"inverted"	0	-39.5634765625	"right"	TRUE	TRUE	29	0.58	1.68
2	3	22	"MOVE_LEFT"	22	0	"normal"	0	86.2767181396484	"left"	TRUE	TRUE	37	0.74	1.18
2	3	23	"MOVE_LEFT"	23	0	"normal"	0	-141.131423950195	"right"	FALSE	TRUE	38	0.76	2.24
2	3	24	"MOVE_RIGHT"	15	0	"normal"	0	91.5361938476562	"left"	FALSE	FALSE	30	0.6	1.56
2	3	25	"MOVE_LEFT"	18	1	"inverted"	0	172.547180175781	"left"	FALSE	TRUE	33	0.66	1.3
2	3	26	"MOVE_LEFT"	12	1	"inverted"	0	-210.613845825195	"right"	TRUE	TRUE	27	0.54	2.2
2	3	27	"MOVE_LEFT"	22	1	"inverted"	0	84.110595703125	"left"	FALSE	TRUE	37	0.74	1.18
2	3	29	"MOVE_LEFT"	33	1	"inverted"	0	-55.8914642333984	"right"	TRUE	TRUE	48	0.96	1.98
2	3	30	"MOVE_RIGHT"	19	1	"inverted"	0	-91.6761779785156	"right"	FALSE	FALSE	34	0.68	1.24
