"Participant"	"Block"	"Episode"	"First_Action"	"first_non_na_index"	"Movement"	"Movement_Words"	"Balance"	"X0_y"	"side"	"correct_key"	"optimal_key"	"Tic"	"Time_of_Action"	"Time_of_Episode"
2	2	1	"MOVE_RIGHT"	22	0	"normal"	1	-179.181015014648	"right"	TRUE	TRUE	37	0.74	1.5
2	2	2	"MOVE_LEFT"	14	1	"inverted"	1	110.232955932617	"left"	FALSE	FALSE	29	0.58	1.14
2	2	3	"MOVE_LEFT"	13	1	"inverted"	1	123.704833984375	"left"	FALSE	FALSE	28	0.56	1.12
2	2	4	"MOVE_LEFT"	15	1	"inverted"	1	132.461547851562	"left"	FALSE	FALSE	30	0.6	1.08
2	2	5	"MOVE_RIGHT"	16	0	"normal"	1	-99.0091857910156	"right"	TRUE	TRUE	31	0.62	1.16
2	2	6	"MOVE_LEFT"	21	1	"inverted"	1	227.073272705078	"left"	FALSE	FALSE	36	0.72	1.52
2	2	7	"MOVE_LEFT"	16	1	"inverted"	1	102.993881225586	"left"	FALSE	FALSE	31	0.62	1.08
2	2	8	"MOVE_RIGHT"	17	0	"normal"	1	-163.467834472656	"right"	TRUE	TRUE	32	0.64	1.32
2	2	9	"MOVE_RIGHT"	26	0	"normal"	1	-190.899566650391	"right"	TRUE	TRUE	41	0.82	1.64
2	2	10	"ATTACK"	46	0	"normal"	1	255.6796875	"left"	FALSE	FALSE	61	1.22	4.24
2	2	11	"MOVE_LEFT"	21	1	"inverted"	1	-84.8265075683594	"right"	TRUE	FALSE	36	0.72	2.38
2	2	12	"MOVE_RIGHT"	13	0	"normal"	1	-116.047088623047	"right"	TRUE	TRUE	28	0.56	1.48
2	2	13	"MOVE_LEFT"	16	1	"inverted"	1	96.3338623046875	"left"	FALSE	FALSE	31	0.62	1.06
2	2	14	"MOVE_RIGHT"	18	0	"normal"	1	-105.090850830078	"right"	TRUE	TRUE	33	0.66	1.28
2	2	15	"MOVE_RIGHT"	19	0	"normal"	1	-81.5058135986328	"right"	TRUE	TRUE	34	0.68	1.2
2	2	16	"MOVE_RIGHT"	23	0	"normal"	1	201.739608764648	"left"	FALSE	TRUE	38	0.76	2.22
2	2	17	"MOVE_RIGHT"	24	1	"inverted"	1	212.671783447266	"left"	TRUE	TRUE	39	0.78	2.2
2	2	18	"MOVE_LEFT"	20	1	"inverted"	1	207.810180664062	"left"	FALSE	FALSE	35	0.7	2.02
2	2	19	"MOVE_RIGHT"	23	0	"normal"	1	-54.8665618896484	"right"	TRUE	TRUE	38	0.76	1.22
2	2	20	"MOVE_RIGHT"	18	0	"normal"	1	93.9479675292969	"left"	FALSE	TRUE	33	0.66	1.66
2	2	21	"MOVE_RIGHT"	17	0	"normal"	1	-103.82795715332	"right"	TRUE	TRUE	32	0.64	1.28
2	2	22	"MOVE_LEFT"	15	1	"inverted"	1	-183.227020263672	"right"	TRUE	FALSE	30	0.6	2.28
2	2	23	"MOVE_LEFT"	16	1	"inverted"	1	-198.215621948242	"right"	TRUE	FALSE	31	0.62	2.3
2	2	24	"MOVE_RIGHT"	15	0	"normal"	1	-29.5645141601562	"right"	TRUE	TRUE	30	0.6	1.06
2	2	25	"MOVE_RIGHT"	20	0	"normal"	1	-196.543380737305	"right"	TRUE	TRUE	35	0.7	1.44
2	2	26	"MOVE_LEFT"	22	1	"inverted"	1	282.1806640625	"left"	FALSE	FALSE	37	0.74	1.7
2	2	27	"MOVE_RIGHT"	16	0	"normal"	1	-222.792144775391	"right"	TRUE	TRUE	31	0.62	1.5
2	2	28	"MOVE_LEFT"	16	1	"inverted"	1	238.332702636719	"left"	FALSE	FALSE	31	0.62	1.36
2	2	29	"MOVE_LEFT"	21	1	"inverted"	1	205.784439086914	"left"	FALSE	FALSE	36	0.72	1.4
2	2	30	"MOVE_RIGHT"	23	0	"normal"	1	-180.917419433594	"right"	TRUE	TRUE	38	0.76	1.52
